route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"100207","WEEKDAY","21820408","DOWNTOWN SEATTLE","EXPRESS",1,"3203781","20355071"
"100088","WEEKDAY","22672100","UNIVERSITY DISTRICT, FEDERAL WAY TC","LOCAL",1,"3203782","10197054"
"100071","WEEKDAY","23069908","NORTH BEACH","EXPRESS",0,"3203783","11018492"
"100229","WEEKDAY","21820448","DOWNTOWN SEATTLE","EXPRESS",1,"3203784","20005138"
"100044","WEEKDAY","23069883","DOWNTOWN SEATTLE","EXPRESS",1,"3203784","20015801"
"100101","WEEKDAY","21820339","ARBOR HEIGHTS","EXPRESS",0,"3203785","21021361"
"102572","WEEKDAY","21820712","BALLARD, QUEEN ANNE","LOCAL",0,"3203785","11029011"
"100242","WEEKDAY","21820319","DOWNTOWN SEATTLE, VIA SR-99","EXPRESS",1,"3203786","10056088"
"102574","WEEKDAY","21820815","DOWNTOWN SEATTLE, BALLARD","LOCAL",1,"3203787","20040017"
"100351","WEEKDAY","21820665","HALLER LAKE, SPECIAL","EXPRESS",1,"3203788","10995021"
"102549","WEEKDAY","21820442","HALLER LAKE, SPECIAL","EXPRESS",1,"3203789","10980001"
"100469","SUNDAY","21026257","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211454","10180083"
"100469","SUNDAY","21026263","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211454","10180083"
"100469","SUNDAY","21026270","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211454","10180083"
"100469","SUNDAY","21026277","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211454","10180083"
"100469","SUNDAY","21026284","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211454","10180083"
"100469","SUNDAY","21026290","SE AUBURN, KENT STATION","LOCAL",0,"3211454","21180098"
"100469","SUNDAY","21026297","SE AUBURN, KENT STATION","LOCAL",0,"3211454","21180098"
"100469","SUNDAY","21026304","SE AUBURN, KENT STATION","LOCAL",0,"3211454","21180098"
"100469","SUNDAY","21026311","SE AUBURN, KENT STATION","LOCAL",0,"3211454","21180098"
"100469","SUNDAY","21026327","SE AUBURN, KENT STATION","LOCAL",0,"3211454","21180098"
"100469","SUNDAY","21026262","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211455","10180083"
"100469","SUNDAY","21026269","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211455","10180083"
"100469","SUNDAY","21026276","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211455","10180083"
"100469","SUNDAY","21026283","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211455","10180083"
"100469","SUNDAY","21026287","BURIEN TC, SEATTLE TACOMA INTERNATIONAL AIRPORT","LOCAL",1,"3211455","10180083"
"100469","SUNDAY","21026296","SE AUBURN, KENT STATION","LOCAL",0,"3211455","21180098"
"100469","SUNDAY","21026303","SE AUBURN, KENT STATION","LOCAL",0,"3211455","21180098"
"100469","SUNDAY","21026310","SE AUBURN, KENT STATION","LOCAL",0,"3211455","21180098"
"100469","SUNDAY","21026317","SE AUBURN, KENT STATION","LOCAL",0,"3211455","21180098"
"100045","SATURDAY","19368414","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211396","10150173"
"100045","SATURDAY","21024441","KENT, SOUTHCENTER","LOCAL",0,"3211396","21150175"
"100003","SATURDAY","19367906","DOWNTOWN SEATTLE, S RENTON P&R","LOCAL",1,"3211397","10101080"
"100005","SATURDAY","22940953","RENTON, RAINIER BEACH STATION","LOCAL",0,"3211397","21106093"
"100005","SATURDAY","22940955","RENTON, RAINIER BEACH STATION","LOCAL",0,"3211397","21106093"
"100045","SATURDAY","19367955","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211398","10150173"
"100045","SATURDAY","19367960","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211398","10150173"
"100045","SATURDAY","19367965","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211398","10150172"
"100045","SATURDAY","19367970","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211398","10150173"
"100045","SATURDAY","19368416","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211398","10150172"
"100045","SATURDAY","21024409","KENT, SOUTHCENTER","LOCAL",0,"3211398","21150175"
"100045","SATURDAY","21024428","KENT, SOUTHCENTER","LOCAL",0,"3211398","21150175"
"100045","SATURDAY","21024438","KENT, SOUTHCENTER","LOCAL",0,"3211398","21150175"
"100045","SATURDAY","21024531","KENT, SOUTHCENTER","LOCAL",0,"3211398","21150175"
"100045","SATURDAY","21024540","KENT, SOUTHCENTER","LOCAL",0,"3211398","21150175"
"100045","SATURDAY","19367978","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211399","10150173"
"100038","SUNDAY","18118139","GREGORY HEIGHTS, HIGHLINE HOSPITAL","LOCAL",0,"3211402","21139008"
"100489","SUNDAY","18118625","HIGHLINE CC, SEA TAC","LOCAL",0,"3211465","31156019"
"100489","SUNDAY","18118627","HIGHLINE CC, SEA TAC","LOCAL",0,"3211465","31156019"
"100489","SUNDAY","18118629","HIGHLINE CC, SEA TAC","LOCAL",0,"3211465","31156019"
"100489","SUNDAY","21771431","HIGHLINE CC, SEA TAC","LOCAL",0,"3211465","31156019"
"100489","SUNDAY","21771636","SOUTHCENTER, SEA TAC","LOCAL",1,"3211465","40156017"
"100489","SUNDAY","18118600","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118602","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118604","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118606","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118608","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118610","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118612","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118614","SOUTHCENTER, SEA TAC","LOCAL",1,"3211466","40156017"
"100489","SUNDAY","18118616","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100489","SUNDAY","18118618","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100489","SUNDAY","18118620","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100489","SUNDAY","18118622","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100489","SUNDAY","18118624","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100489","SUNDAY","18118626","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100489","SUNDAY","18118628","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100489","SUNDAY","18118630","HIGHLINE CC, SEA TAC","LOCAL",0,"3211466","31156019"
"100045","SUNDAY","19371994","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211467","10150173"
"100045","SUNDAY","19374105","DOWNTOWN SEATTLE, SOUTHCENTER","LOCAL",1,"3211467","10150173"
"100003","SUNDAY","19374144","DOWNTOWN SEATTLE, S RENTON P&R","LOCAL",1,"3211467","10101080"
"100003","SUNDAY","19374150","DOWNTOWN SEATTLE, S RENTON P&R","LOCAL",1,"3211467","10101080"
"100005","SUNDAY","19374173","DOWNTOWN SEATTLE, RAINIER BEACH STATION","LOCAL",1,"3211467","10106089"
"100045","SUNDAY","21026020","KENT, SOUTHCENTER","LOCAL",0,"3211467","21150175"
"100045","SUNDAY","21026033","KENT, SOUTHCENTER","LOCAL",0,"3211467","21150175"
"100003","SUNDAY","21026097","RENTON TC, S RENTON P&R","LOCAL",0,"3211467","21101081"
"100003","SUNDAY","21026103","RENTON TC, S RENTON P&R","LOCAL",0,"3211467","21101081"
"100005","SUNDAY","21026167","RENTON, RAINIER BEACH STATION","LOCAL",0,"3211467","21106093"
"100005","SUNDAY","21026178","RENTON, RAINIER BEACH STATION","LOCAL",0,"3211467","21106093"
"100005","SUNDAY","22775716","DOWNTOWN SEATTLE, RAINIER BEACH STATION","LOCAL",1,"3211467","10106089"
"102576","SATURDAY","23071510","DOWNTOWN SEATTLE, ALASKA JUNCTION","LOCAL",1,"3203919","10673012"
"100072","SATURDAY","18116685","TWIN LAKES P&R, AUBURN STATION","LOCAL",1,"3211309","30181026"
"100072","SATURDAY","18116692","GREEN RIVER CC, AUBURN STATION","LOCAL",0,"3211309","41181027"
"100072","SATURDAY","18116697","GREEN RIVER CC, AUBURN STATION","LOCAL",0,"3211309","41181027"
"100072","SATURDAY","18116702","GREEN RIVER CC, AUBURN STATION","LOCAL",0,"3211309","41181027"
"100072","SATURDAY","18116707","GREEN RIVER CC, AUBURN STATION","LOCAL",0,"3211309","41181027"
