trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
510,7:40:00,7:40:00,S_KS,1,Everett,0,0
510,8:07:00,8:07:00,S_ED,2,Everett,0,0
510,8:31:00,8:31:00,S_EV,3,Everett,0,0
513,21:15:00,21:15:00,S_EV,1,Seattle,0,0
513,22:21:00,22:21:00,S_ED,2,Seattle,0,0
513,22:55:00,22:55:00,S_KS,3,Seattle,0,0
516,18:40:00,18:40:00,S_KS,1,Everett,0,0
516,19:07:00,19:07:00,S_ED,2,Everett,0,0
516,19:31:00,19:31:00,S_EV,3,Everett,0,0
517,20:59:00,20:59:00,S_EV,1,Seattle,0,0
517,21:24:00,21:24:00,S_ED,2,Seattle,0,0
517,22:10:00,22:10:00,S_KS,3,Seattle,0,0
1500,4:42:00,4:42:00,S_LW,1,King Street Station,0,0
1500,4:46:00,4:46:00,S_ST,2,King Street Station,0,0
1500,4:55:00,4:55:00,S_TD,3,King Street Station,0,0
1500,5:07:00,5:07:00,S_PU_NB,4,King Street Station,0,0
1500,5:12:00,5:12:00,S_SU_NB,5,King Street Station,0,0
1500,5:20:00,5:20:00,S_AU_NB,6,King Street Station,0,0
1500,5:27:00,5:27:00,S_KE_NB,7,King Street Station,0,0
1500,5:34:00,5:34:00,S_TK_NB,8,King Street Station,0,0
1500,5:54:00,5:54:00,S_KS,9,King Street Station,0,0
1502,5:22:00,5:22:00,S_LW,1,King Street Station,0,0
1502,5:26:00,5:26:00,S_ST,2,King Street Station,0,0
1502,5:35:00,5:35:00,S_TD,3,King Street Station,0,0
1502,5:47:00,5:47:00,S_PU_NB,4,King Street Station,0,0
1502,5:52:00,5:52:00,S_SU_NB,5,King Street Station,0,0
1502,6:01:00,6:01:00,S_AU_NB,6,King Street Station,0,0
1502,6:09:00,6:09:00,S_KE_NB,7,King Street Station,0,0
1502,6:16:00,6:16:00,S_TK_NB,8,King Street Station,0,0
1502,6:34:00,6:34:00,S_KS,9,King Street Station,0,0
1504,5:47:00,5:47:00,S_LW,1,King Street Station,0,0
1504,5:51:00,5:51:00,S_ST,2,King Street Station,0,0
1504,6:00:00,6:00:00,S_TD,3,King Street Station,0,0
1504,6:12:00,6:12:00,S_PU_NB,4,King Street Station,0,0
1504,6:17:00,6:17:00,S_SU_NB,5,King Street Station,0,0
1504,6:26:00,6:26:00,S_AU_NB,6,King Street Station,0,0
1504,6:34:00,6:34:00,S_KE_NB,7,King Street Station,0,0
1504,6:41:00,6:41:00,S_TK_NB,8,King Street Station,0,0
1504,6:59:00,6:59:00,S_KS,9,King Street Station,0,0
1506,6:12:00,6:12:00,S_LW,1,King Street Station,0,0
1506,6:16:00,6:16:00,S_ST,2,King Street Station,0,0
1506,6:25:00,6:25:00,S_TD,3,King Street Station,0,0
1506,6:37:00,6:37:00,S_PU_NB,4,King Street Station,0,0
1506,6:42:00,6:42:00,S_SU_NB,5,King Street Station,0,0
1506,6:51:00,6:51:00,S_AU_NB,6,King Street Station,0,0
1506,6:59:00,6:59:00,S_KE_NB,7,King Street Station,0,0
1506,7:06:00,7:06:00,S_TK_NB,8,King Street Station,0,0
1506,7:24:00,7:24:00,S_KS,9,King Street Station,0,0
1508,6:37:00,6:37:00,S_LW,1,King Street Station,0,0
1508,6:41:00,6:41:00,S_ST,2,King Street Station,0,0
1508,6:50:00,6:50:00,S_TD,3,King Street Station,0,0
1508,7:02:00,7:02:00,S_PU_NB,4,King Street Station,0,0
1508,7:07:00,7:07:00,S_SU_NB,5,King Street Station,0,0
1508,7:16:00,7:16:00,S_AU_NB,6,King Street Station,0,0
1508,7:24:00,7:24:00,S_KE_NB,7,King Street Station,0,0
1508,7:31:00,7:31:00,S_TK_NB,8,King Street Station,0,0
1508,7:49:00,7:49:00,S_KS,9,King Street Station,0,0
1509,16:20:00,16:20:00,S_KS,1,Lakewood Station,0,0
1509,16:32:00,16:32:00,S_TK_SB,2,Lakewood Station,0,0
1509,16:39:00,16:39:00,S_KE_SB,3,Lakewood Station,0,0
1509,16:46:00,16:46:00,S_AU_SB,4,Lakewood Station,0,0
1509,16:56:00,16:56:00,S_SU_SB,5,Lakewood Station,0,0
1509,17:00:00,17:00:00,S_PU_SB,6,Lakewood Station,0,0
1509,17:12:00,17:12:00,S_TD,7,Lakewood Station,0,0
1509,17:21:00,17:21:00,S_ST,8,Lakewood Station,0,0
1509,17:32:00,17:32:00,S_LW,9,Lakewood Station,0,0
1511,16:45:00,16:45:00,S_KS,1,Lakewood Station,0,0
1511,16:57:00,16:57:00,S_TK_SB,2,Lakewood Station,0,0
1511,17:04:00,17:04:00,S_KE_SB,3,Lakewood Station,0,0
1511,17:11:00,17:11:00,S_AU_SB,4,Lakewood Station,0,0
1511,17:21:00,17:21:00,S_SU_SB,5,Lakewood Station,0,0
1511,17:25:00,17:25:00,S_PU_SB,6,Lakewood Station,0,0
1511,17:37:00,17:37:00,S_TD,7,Lakewood Station,0,0
1511,17:46:00,17:46:00,S_ST,8,Lakewood Station,0,0
1511,17:57:00,17:57:00,S_LW,9,Lakewood Station,0,0
1513,17:12:00,17:12:00,S_KS,1,Lakewood Station,0,0
1513,17:24:00,17:24:00,S_TK_SB,2,Lakewood Station,0,0
1513,17:31:00,17:31:00,S_KE_SB,3,Lakewood Station,0,0
1513,17:38:00,17:38:00,S_AU_SB,4,Lakewood Station,0,0
1513,17:48:00,17:48:00,S_SU_SB,5,Lakewood Station,0,0
1513,17:52:00,17:52:00,S_PU_SB,6,Lakewood Station,0,0
1513,18:04:00,18:04:00,S_TD,7,Lakewood Station,0,0
1513,18:13:00,18:13:00,S_ST,8,Lakewood Station,0,0
1513,18:24:00,18:24:00,S_LW,9,Lakewood Station,0,0
1515,17:40:00,17:40:00,S_KS,1,Lakewood Station,0,0
1515,17:52:00,17:52:00,S_TK_SB,2,Lakewood Station,0,0
1515,17:59:00,17:59:00,S_KE_SB,3,Lakewood Station,0,0
1515,18:06:00,18:06:00,S_AU_SB,4,Lakewood Station,0,0
